day_type,amount_band
weekend,mid
weekend,mid
weekend,low
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekend,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekend,high
weekday,mid
weekend,low
weekend,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,high
weekday,low
weekend,low
weekend,low
weekday,high
weekend,low
weekend,low
weekday,low
weekend,high
weekend,low
weekday,mid
weekend,high
weekday,mid
weekday,low
weekday,mid
weekend,high
weekday,high
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,high
weekend,mid
weekend,low
weekend,mid
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,high
weekend,high
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,low
weekend,mid
weekend,mid
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,high
weekend,mid
weekend,mid
weekend,high
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,low
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekend,low
weekend,mid
weekend,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekend,high
weekday,low
weekday,high
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,high
weekend,low
weekday,low
weekday,mid
weekend,mid
weekday,mid
weekday,high
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,mid
weekday,mid
weekend,low
weekend,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,low
weekday,high
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,low
weekday,low
weekend,low
weekend,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,mid
weekend,low
weekday,low
weekday,high
weekday,high
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,mid
weekday,mid
weekend,high
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,mid
weekend,low
weekend,mid
weekday,low
weekend,high
weekday,low
weekday,mid
weekend,high
weekend,low
weekend,low
weekend,low
weekend,low
weekday,low
weekend,high
weekday,mid
weekend,low
weekend,low
weekend,low
weekday,mid
weekend,mid
weekend,high
weekend,mid
weekend,high
weekday,low
weekend,low
weekday,mid
weekday,mid
weekend,low
weekday,low
weekend,high
weekday,low
weekday,high
weekday,mid
weekend,mid
weekday,high
weekend,high
weekday,mid
weekday,mid
weekday,mid
weekday,mid
weekend,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,mid
weekday,high
weekday,low
weekday,mid
weekend,high
weekday,mid
weekday,high
weekday,low
weekend,mid
weekday,low
weekday,high
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekday,low
weekend,low
weekday,mid
weekend,high
weekday,low
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,high
weekday,low
weekday,low
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekend,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,high
weekday,low
weekend,low
weekend,low
weekend,high
weekend,high
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,low
weekday,low
weekend,low
weekend,high
weekday,low
weekday,mid
weekday,low
weekend,mid
weekend,low
weekday,low
weekend,low
weekday,high
weekday,mid
weekday,low
weekend,low
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,high
weekend,high
weekday,mid
weekend,low
weekday,low
weekday,high
weekday,low
weekday,mid
weekend,high
weekday,low
weekend,high
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,low
weekend,low
weekday,high
weekday,low
weekend,low
weekend,low
weekend,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekend,mid
weekend,high
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,mid
weekday,high
weekday,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekday,mid
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,high
weekday,mid
weekday,high
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,mid
weekend,high
weekday,low
weekend,mid
weekday,low
weekend,high
weekday,mid
weekday,low
weekday,high
weekday,low
weekday,mid
weekend,low
weekday,low
weekend,mid
weekend,mid
weekend,high
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekend,high
weekend,mid
weekday,low
weekend,high
weekday,low
weekday,high
weekend,high
weekday,low
weekend,low
weekday,low
weekday,low
weekend,mid
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekend,high
weekday,low
weekday,low
weekday,mid
weekend,high
weekend,low
weekday,mid
weekend,mid
weekend,low
weekday,low
weekend,mid
weekday,low
weekend,mid
weekday,mid
weekday,high
weekend,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekend,low
weekend,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,high
weekday,low
weekend,low
weekday,high
weekday,mid
weekday,low
weekday,mid
weekday,high
weekday,mid
weekday,mid
weekend,low
weekday,high
weekday,low
weekend,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekend,low
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekend,low
weekday,low
weekday,low
weekend,mid
weekday,high
weekend,high
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,mid
weekday,mid
weekend,high
weekend,low
weekday,mid
weekday,low
weekday,high
weekend,high
weekend,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekday,high
weekend,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,low
weekend,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,mid
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekend,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,high
weekend,low
weekday,low
weekday,mid
weekday,high
weekday,low
weekday,high
weekend,mid
weekend,high
weekend,high
weekend,low
weekend,low
weekend,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,high
weekend,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekend,high
weekend,low
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,mid
weekend,low
weekend,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,high
weekday,mid
weekend,mid
weekend,mid
weekday,mid
weekend,low
weekday,mid
weekend,low
weekday,low
weekday,low
weekend,high
weekend,low
weekend,low
weekend,high
weekday,low
weekend,low
weekday,high
weekday,low
weekday,low
weekday,high
weekend,low
weekday,low
weekend,mid
weekend,low
weekend,mid
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,low
weekend,low
weekend,low
weekend,low
weekday,high
weekend,low
weekday,high
weekday,mid
weekend,low
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,high
weekend,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekend,mid
weekend,high
weekday,high
weekday,mid
weekend,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,high
weekday,mid
weekend,high
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,high
weekday,mid
weekend,low
weekday,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,high
weekday,mid
weekday,mid
weekend,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekend,low
weekday,low
weekend,low
weekend,mid
weekend,low
weekday,low
weekend,high
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,high
weekday,high
weekday,mid
weekend,low
weekday,mid
weekday,high
weekday,mid
weekend,mid
weekday,high
weekday,mid
weekend,high
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,mid
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekend,mid
weekend,high
weekend,low
weekend,low
weekend,low
weekday,low
weekend,high
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekend,low
weekend,mid
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,high
weekday,low
weekend,mid
weekend,mid
weekday,low
weekend,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,high
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,high
weekday,low
weekend,mid
weekend,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,low
weekday,mid
weekday,high
weekday,low
weekend,mid
weekend,high
weekday,low
weekend,low
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,high
weekday,high
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,high
weekday,low
weekday,mid
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,high
weekend,high
weekday,low
weekday,low
weekend,mid
weekend,high
weekend,mid
weekday,low
weekend,high
weekday,high
weekend,mid
weekend,low
weekday,low
weekend,mid
weekend,low
weekday,low
weekday,mid
weekday,low
weekend,low
weekend,mid
weekend,low
weekday,mid
weekday,mid
weekend,high
weekday,low
weekday,mid
weekend,low
weekday,low
weekend,high
weekday,mid
weekday,mid
weekday,mid
weekday,mid
weekend,low
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,high
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekend,low
weekend,high
weekday,high
weekday,high
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,high
weekday,high
weekend,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekday,mid
weekend,low
weekend,low
weekday,mid
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,mid
weekend,high
weekday,low
weekday,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,mid
weekend,high
weekday,low
weekend,mid
weekday,mid
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,high
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,low
weekend,low
weekday,low
weekend,low
weekday,mid
weekday,low
weekend,low
weekday,high
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekend,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekend,mid
weekday,mid
weekend,low
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekday,mid
weekday,high
weekend,high
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekend,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,mid
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,high
weekday,mid
weekday,low
weekend,high
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekend,low
weekend,mid
weekend,high
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,high
weekend,mid
weekday,mid
weekend,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,low
weekend,mid
weekend,mid
weekend,mid
weekend,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,high
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,high
weekend,low
weekend,high
weekday,low
weekday,low
weekday,high
weekday,low
weekday,high
weekday,mid
weekend,mid
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,high
weekday,low
weekday,high
weekend,low
weekday,low
weekday,low
weekday,low
weekend,high
weekday,mid
weekday,low
weekend,low
weekend,mid
weekend,mid
weekend,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,mid
weekend,mid
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,mid
weekend,high
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,high
weekday,mid
weekend,high
weekday,mid
weekend,low
weekend,high
weekday,low
weekday,low
weekend,mid
weekday,high
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,high
weekend,high
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekend,low
weekend,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekend,mid
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekend,high
weekend,mid
weekday,low
weekend,high
weekday,mid
weekday,mid
weekend,mid
weekday,low
weekday,low
weekday,high
weekday,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekend,low
weekend,high
weekend,high
weekday,mid
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,high
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekend,low
weekend,high
weekday,low
weekday,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,mid
weekend,high
weekend,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,low
weekday,mid
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekend,mid
weekday,mid
weekday,low
weekend,low
weekend,high
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekend,mid
weekend,low
weekday,mid
weekday,mid
weekday,high
weekday,mid
weekend,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,low
weekday,mid
weekend,mid
weekday,high
weekday,low
weekend,high
weekend,mid
weekend,low
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekend,low
weekday,mid
weekend,high
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,high
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,high
weekday,low
weekday,low
weekend,mid
weekend,mid
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekend,high
weekday,mid
weekday,low
weekday,mid
weekend,low
weekday,mid
weekday,low
weekend,mid
weekend,low
weekday,low
weekday,high
weekday,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekend,mid
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekday,high
weekend,mid
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,mid
weekday,mid
weekend,low
weekday,mid
weekday,low
weekend,low
weekday,mid
weekend,low
weekend,high
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,high
weekday,high
weekday,low
weekend,mid
weekday,mid
weekday,high
weekend,high
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekend,high
weekend,high
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,mid
weekday,mid
weekday,low
weekend,high
weekend,low
weekday,mid
weekend,low
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,high
weekend,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,low
weekday,low
weekend,low
weekend,mid
weekday,low
weekend,high
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,mid
weekend,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,high
weekend,low
weekday,high
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,high
weekday,mid
weekend,high
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekend,low
weekend,high
weekend,low
weekend,mid
weekday,high
weekend,low
weekday,mid
weekend,mid
weekday,mid
weekday,high
weekday,low
weekday,high
weekday,low
weekday,mid
weekend,low
weekend,high
weekday,mid
weekday,mid
weekday,low
weekend,high
weekday,low
weekday,low
weekend,low
weekend,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,high
weekend,low
weekday,high
weekday,mid
weekday,low
weekend,mid
weekday,mid
weekday,mid
weekday,high
weekday,low
weekend,high
weekday,low
weekday,mid
weekend,mid
weekday,low
weekday,high
weekday,low
weekday,low
weekend,high
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekend,low
weekday,high
weekday,low
weekend,low
weekday,low
weekday,low
weekend,mid
weekend,low
weekday,high
weekend,mid
weekend,high
weekend,high
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,high
weekend,low
weekday,high
weekday,high
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekend,mid
weekend,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,high
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,mid
weekend,low
weekday,mid
weekend,mid
weekday,mid
weekend,high
weekday,mid
weekend,low
weekend,high
weekday,mid
weekend,high
weekend,high
weekday,high
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,high
weekday,low
weekend,low
weekend,high
weekend,low
weekday,low
weekend,low
weekday,high
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekend,mid
weekday,low
weekend,low
weekend,high
weekday,low
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekend,mid
weekday,low
weekend,mid
weekday,low
weekend,high
weekday,low
weekday,low
weekend,low
weekday,low
weekend,high
weekday,high
weekday,low
weekday,mid
weekday,low
weekend,high
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekday,high
weekend,mid
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,high
weekday,low
weekend,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekday,high
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekend,high
weekday,low
weekday,mid
weekend,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekend,high
weekday,mid
weekday,low
weekday,low
weekday,mid
weekend,mid
weekend,low
weekday,low
weekend,low
weekend,mid
weekday,low
weekday,high
weekday,low
weekday,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,high
weekday,high
weekday,low
weekday,mid
weekday,low
weekday,high
weekend,low
weekend,low
weekend,low
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,high
weekday,mid
weekend,high
weekend,high
weekday,low
weekend,high
weekend,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,low
weekday,mid
weekend,high
weekend,high
weekday,low
weekday,low
weekday,high
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,low
weekday,low
weekday,low
weekend,low
weekday,low
weekday,low
weekend,high
weekday,low
weekend,high
weekday,low
weekday,low
weekday,mid
weekday,high
weekday,low
weekend,mid
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,low
weekend,high
weekend,low
weekday,high
weekday,low
weekday,mid
weekend,mid
weekend,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,low
weekday,mid
weekday,mid
weekday,high
weekend,low
weekday,mid
weekday,low
weekday,low
weekday,high
weekend,high
weekend,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,high
weekday,low
weekday,low
weekend,mid
weekday,mid
weekend,low
weekday,mid
weekend,high
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,low
weekend,mid
weekend,low
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekend,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,mid
weekend,mid
weekday,high
weekday,low
weekday,high
weekday,mid
weekday,low
weekday,low
weekday,mid
weekend,mid
weekday,high
weekday,low
weekend,high
weekend,mid
weekend,high
weekend,low
weekday,mid
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,high
weekday,low
weekend,mid
weekend,mid
weekday,mid
weekday,high
weekday,mid
weekend,high
weekday,low
weekend,low
weekday,high
weekday,mid
weekday,low
weekday,mid
weekday,mid
weekend,high
weekday,high
weekend,high
weekday,low
weekend,low
weekend,high
weekday,mid
weekday,high
weekend,mid
weekday,low
weekend,low
weekend,mid
weekday,low
weekend,high
weekend,low
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,mid
weekday,mid
weekday,low
weekend,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,mid
weekday,mid
weekday,high
weekend,mid
weekend,mid
weekday,high
weekday,high
weekend,mid
weekend,low
weekday,low
weekday,low
weekday,high
weekday,mid
weekday,low
weekday,high
weekday,low
weekday,high
weekend,mid
weekday,mid
weekday,mid
weekend,high
weekend,high
weekday,mid
weekend,mid
weekday,low
weekday,mid
weekday,mid
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekend,low
weekend,high
weekday,mid
weekday,mid
weekday,high
weekday,low
weekend,low
weekday,low
weekend,low
weekday,low
weekday,mid
weekend,mid
weekend,low
weekday,low
weekend,low
weekend,mid
weekday,high
weekend,low
weekday,low
weekend,low
weekend,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekend,high
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,low
weekday,low
weekend,high
weekday,mid
weekend,high
weekend,low
weekday,mid
weekend,mid
weekend,high
weekend,low
weekend,high
weekday,low
weekday,mid
weekend,low
weekday,high
weekend,low
weekday,mid
weekday,mid
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,low
weekday,mid
weekend,mid
weekend,mid
weekday,low
weekday,mid
weekday,low
weekend,mid
weekday,low
weekday,low
weekend,mid
weekday,low
weekday,low
weekday,low
weekday,low
weekday,mid
weekday,mid
weekday,low
